INDICATOR_SEQ,PARENT_SEQ,AGENCY_NAME,INDICATOR_NAME,DESCRIPTION,CATEGORY,FREQUENCY,DESIRED_CHANGE,INDICATOR_UNIT,DECIMAL_PLACES,PERIOD_YEAR,PERIOD_MONTH,YTD_TARGET,YTD_ACTUAL,MONTHLY_TARGET,MONTHLY_ACTUAL
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,1,2.7,2.24,2.7,2.24
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,2,2.7,1.54,2.7,0.79
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,3,2.7,1.62,2.7,1.76
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,4,2.7,1.53,2.7,1.24
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,5,2.7,1.66,2.7,2.18
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,6,2.7,1.85,2.7,2.61
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,7,2.7,1.92,2.7,2.38
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,8,2.7,1.99,2.7,2.46
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,9,2.7,2.03,2.7,2.3
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,10,2.7,2.06,2.7,2.32
